sale_id,datetime,quantity,unit_price,customer_id,customer_name,gender,age,customer_city,product_id,product_name,category,color,size,product_price,acquisition_cost,store_id,store_name,region,store_city,store_type,revenue,total_cost,profit,profit_margin_pct,age_group,sale_year,sale_month,sale_month_num,sale_quarter,sale_weekday,is_weekend
11,2019-12-17 18:18:24,36,346.65,565,José Jesus,Female,61,Valença,743,Necessitatibus,Footwear,Purple,41,40.9,49.0,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,12479.4,1764.0,10715.4,85.86470503389586,55-64,2019,December,12,Q4,Tuesday,False
12,2022-07-21 09:53:14,52,917.16,436,Rodrigo Assunção,Female,45,Albufeira,985,Possimus,Footwear,Green,39,28.23,15.23,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,47692.32,791.96,46900.36,98.33943913820926,45-54,2022,July,7,Q3,Thursday,False
13,2024-11-04 12:52:40,84,480.28,833,Leonardo Marques,Female,49,Idanha-a-Nova,343,Nihil,Clothing,Gray,XS,74.19,22.79,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,40343.52,1914.36,38429.159999999996,95.25485133672025,45-54,2024,November,11,Q4,Monday,False
14,2018-03-21 08:16:40,49,105.68,836,Benedita Amaral,Female,62,Lisboa,162,Nihil,Clothing,Red,M,63.65,28.09,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,5178.320000000001,1376.41,3801.9100000000008,73.41975775927328,55-64,2018,March,3,Q1,Wednesday,False
15,2023-09-03 22:09:37,50,428.63,289,Clara Tavares,Female,50,Fátima,647,Repellendus,Footwear,White,43,34.96,44.02,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,21431.5,2201.0,19230.5,89.73007022373609,45-54,2023,September,9,Q3,Sunday,True
16,2023-08-25 14:41:25,16,874.05,336,Emília Freitas,Female,21,Vila Nova de Santo André,82,Labore,Footwear,Green,43,59.54,14.39,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,13984.8,230.24,13754.56,98.35364109604714,18-24,2023,August,8,Q3,Friday,False
17,2017-03-10 04:22:37,87,23.34,975,Gabriel Cunha,Male,18,Tavira,207,Dolorum,Footwear,Green,39,58.58,25.32,1,Loja Borges S.A.,Central,Leiria,Online,2030.58,2202.84,-172.26000000000022,-8.483290488431889,18-24,2017,March,3,Q1,Friday,False
18,2021-09-13 07:59:11,25,546.54,689,Santiago Lima,Female,69,Odemira,189,Velit,Clothing,Red,L,46.15,20.39,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,13663.5,509.75,13153.75,96.26925751088667,65+,2021,September,9,Q3,Monday,False
19,2018-06-09 06:27:50,12,564.32,76,Mia-Lúcia Carneiro,Male,65,Mealhada,810,Praesentium,Clothing,Pink,XS,41.2,43.18,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,6771.84,518.16,6253.68,92.34831301389282,65+,2018,June,6,Q2,Saturday,True
20,2014-10-28 17:09:51,88,236.24,107,Luís Garcia,Female,31,Alcobaça,71,In,Footwear,Pink,39,52.53,17.69,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,20789.120000000003,1556.72,19232.4,92.51185235353877,25-34,2014,October,10,Q4,Tuesday,False
21,2017-12-16 05:11:10,93,757.58,341,Henrique Vicente,Female,52,Marinha Grande,743,Necessitatibus,Footwear,Purple,41,40.9,49.0,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,70454.94,4557.0,65897.94,93.53203622059716,45-54,2017,December,12,Q4,Saturday,True
22,2018-01-21 03:09:52,97,814.23,362,Sérgio de Morais,Male,34,Machico,482,Aliquid,Footwear,Green,44,82.95,30.58,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,78980.31,2966.2599999999998,76014.05,96.24430443486484,25-34,2018,January,1,Q1,Sunday,True
23,2015-09-11 06:27:03,13,286.32,60,Jorge Fonseca,Male,22,Castro Verde,20,Nostrum,Clothing,Yellow,M,25.14,39.42,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,3722.16,512.46,3209.7,86.23218776194467,18-24,2015,September,9,Q3,Friday,False
24,2024-10-02 10:29:19,9,803.06,124,Alícia-Maria Simões,Male,22,Sabugal,694,Delectus,Footwear,Red,38,63.96,15.24,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,7227.539999999999,137.16,7090.379999999999,98.10225885986104,18-24,2024,October,10,Q4,Wednesday,False
25,2021-03-01 16:43:12,8,603.99,589,Adriana Gaspar,Male,51,Angra do Heroísmo,754,Accusantium,Clothing,Red,XS,59.26,13.17,1,Loja Borges S.A.,Central,Leiria,Online,4831.92,105.36,4726.56,97.81950032285303,45-54,2021,March,3,Q1,Monday,False
26,2021-06-09 19:33:57,51,357.96,812,Alexandre Domingues,Male,29,Silves,426,Similique,Footwear,Yellow,35,76.23,15.48,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,18255.96,789.48,17466.48,95.67549446865571,25-34,2021,June,6,Q2,Wednesday,False
27,2023-05-24 15:03:30,5,140.71,128,Henrique Machado,Male,65,Alenquer,553,Omnis,Footwear,Green,42,57.78,11.0,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,703.5500000000001,55.0,648.5500000000001,92.18250302039655,65+,2023,May,5,Q2,Wednesday,False
28,2014-08-21 16:40:40,90,219.71,327,Afonso Correia-Barbosa,Male,19,Praia da Vitória,182,Quibusdam,Clothing,Green,M,84.98,18.9,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,19773.9,1700.9999999999998,18072.9,91.39775158163033,18-24,2014,August,8,Q3,Thursday,False
29,2022-07-22 16:07:22,92,576.32,544,Gustavo Lopes,Male,24,Arcos de Valdevez,169,Voluptates,Footwear,Red,41,41.6,24.36,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,53021.44,2241.12,50780.32,95.77318156579678,18-24,2022,July,7,Q3,Friday,False
30,2023-06-02 07:05:59,85,891.72,318,Gil Fonseca,Female,55,Vila Franca do Campo,135,Saepe,Clothing,Green,M,88.74,31.14,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,75796.2,2646.9,73149.3,96.50787242632217,55-64,2023,June,6,Q2,Friday,False
31,2023-12-06 06:15:43,51,304.09,240,Filipa Santos,Male,44,Lagos,431,Nemo,Clothing,Pink,M,36.05,30.07,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,15508.589999999998,1533.57,13975.019999999999,90.1114801539018,35-44,2023,December,12,Q4,Wednesday,False
32,2023-03-31 10:09:49,22,715.17,368,Francisco Nascimento,Male,62,Trofa,356,Voluptas,Footwear,Black,38,98.03,41.58,1,Loja Borges S.A.,Central,Leiria,Online,15733.74,914.76,14818.98,94.1859977348043,55-64,2023,March,3,Q1,Friday,False
33,2016-01-12 05:02:41,34,82.86,770,Bryan Moura,Male,53,Velas,771,Rerum,Footwear,Green,36,87.91,21.15,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,2817.24,719.0999999999999,2098.14,74.47501810282404,45-54,2016,January,1,Q1,Tuesday,False
34,2022-03-08 08:07:58,51,847.32,289,Clara Tavares,Female,50,Fátima,149,Fugit,Clothing,Black,M,84.89,43.26,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,43213.32,2206.2599999999998,41007.06,94.89449086531653,45-54,2022,March,3,Q1,Tuesday,False
35,2017-03-29 04:22:33,24,476.64,815,Lucas Ferreira,Male,30,Alcácer do Sal,56,Placeat,Footwear,Gray,36,47.17,37.98,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,11439.36,911.52,10527.84,92.03172205438067,25-34,2017,March,3,Q1,Wednesday,False
36,2021-12-15 06:50:08,76,337.18,822,Tomás Campos,Female,63,Montalegre,652,Quaerat,Clothing,Yellow,XXL,58.48,20.66,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,25625.68,1570.16,24055.52,93.87270893884572,55-64,2021,December,12,Q4,Wednesday,False
37,2015-03-01 01:18:35,1,880.01,912,Emília Valente,Male,52,Santa Cruz das Flores,588,Alias,Footwear,Yellow,38,31.45,39.27,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,880.01,39.27,840.74,95.53755070965103,45-54,2015,March,3,Q1,Sunday,True
38,2021-02-11 13:28:53,19,203.71,687,Luísa Henriques,Female,24,Estremoz,136,Architecto,Footwear,Black,38,20.91,37.69,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,3870.4900000000002,716.1099999999999,3154.38,81.49820823719995,18-24,2021,February,2,Q1,Thursday,False
39,2014-11-09 08:54:09,1,721.19,693,Mara-Kelly Brito,Male,68,Portalegre,805,Omnis,Clothing,Orange,S,96.7,34.76,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,721.19,34.76,686.4300000000001,95.18018829989323,65+,2014,November,11,Q4,Sunday,True
40,2021-05-05 02:01:41,22,343.33,959,Adriana Rodrigues,Male,54,Caminha,813,Ex,Clothing,Pink,XL,94.17,35.66,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,7553.259999999999,784.52,6768.74,89.61349139312033,45-54,2021,May,5,Q2,Wednesday,False
41,2016-10-09 01:58:08,93,706.11,673,Francisca Ferreira,Male,69,Almodôvar,274,Corrupti,Clothing,White,L,91.51,44.59,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,65668.23,4146.87,61521.35999999999,93.68511988217134,65+,2016,October,10,Q4,Sunday,True
42,2016-04-08 11:35:16,89,788.19,42,Sara Soares-Sá,Female,45,Santa Cruz da Graciosa,160,Perspiciatis,Footwear,Gray,42,61.09,18.96,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,70148.91,1687.44,68461.47,97.59448863852624,45-54,2016,April,4,Q2,Friday,False
43,2019-08-31 13:12:06,58,278.76,844,Lucas Borges-Leite,Male,44,Ponte de Sor,425,Molestias,Clothing,Orange,L,88.72,10.02,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,16168.08,581.16,15586.92,96.40551011622901,35-44,2019,August,8,Q3,Saturday,True
44,2021-05-29 04:57:06,39,141.59,900,Alícia-Petra Vaz,Female,66,Castro Verde,78,Eum,Clothing,Purple,S,89.64,43.12,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,5522.01,1681.6799999999998,3840.3300000000004,69.5458718836076,65+,2021,May,5,Q2,Saturday,True
45,2015-12-12 19:36:09,38,909.61,227,Mafalda Nascimento,Male,58,Funchal,704,Corporis,Footwear,Blue,35,74.93,35.07,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,34565.18,1332.66,33232.52,96.1445014896494,55-64,2015,December,12,Q4,Saturday,True
46,2016-03-16 09:06:04,23,68.91,53,Renato Mota,Female,61,Setúbal,936,Illum,Clothing,Green,S,45.94,47.13,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,1584.9299999999998,1083.99,500.9399999999998,31.606443186765336,55-64,2016,March,3,Q1,Wednesday,False
47,2018-10-11 08:30:32,74,530.58,89,Iara Leal,Male,26,Sines,27,Commodi,Footwear,Red,35,98.15,43.41,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,39262.920000000006,3212.3399999999997,36050.58000000001,91.818387425082,25-34,2018,October,10,Q4,Thursday,False
48,2016-10-26 04:54:36,72,375.12,721,Luísa Lourenço,Female,39,Moura,222,Maxime,Footwear,White,35,32.67,11.56,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,27008.64,832.32,26176.32,96.91831947110258,35-44,2016,October,10,Q4,Wednesday,False
49,2019-04-03 19:08:49,30,868.9,207,Rita-Juliana Torres,Male,62,Setúbal,422,Repudiandae,Footwear,Black,45,78.49,47.54,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,26067.0,1426.2,24640.8,94.52871446656692,55-64,2019,April,4,Q2,Wednesday,False
50,2020-08-28 20:44:26,57,923.27,554,Camila Moura,Male,31,Oliveira do Bairro,391,Tempora,Clothing,Red,M,91.94,33.19,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,52626.39,1891.83,50734.56,96.40516858557085,25-34,2020,August,8,Q3,Friday,False
51,2016-04-06 03:53:07,26,892.28,94,Jaime Magalhães,Male,67,Setúbal,693,Reiciendis,Footwear,Black,44,70.04,40.25,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,23199.28,1046.5,22152.78,95.48908414399068,65+,2016,April,4,Q2,Wednesday,False
52,2023-09-03 22:57:08,7,286.11,938,Isabel Sá,Male,41,Lagos,737,Repellendus,Clothing,Orange,XS,77.92,33.19,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,2002.77,232.32999999999998,1770.44,88.39956660025865,35-44,2023,September,9,Q3,Sunday,True
53,2021-01-05 21:05:02,76,604.14,54,Raquel Reis,Male,41,Angra do Heroísmo,885,Voluptatum,Clothing,Pink,S,70.49,42.29,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,45914.64,3214.04,42700.6,92.99996689509054,35-44,2021,January,1,Q1,Tuesday,False
54,2014-12-16 19:31:19,38,872.8,658,Sara Lourenço,Female,27,Carregal do Sal,30,Quasi,Clothing,Orange,XS,29.07,15.68,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,33166.4,595.84,32570.56,98.20348304307974,25-34,2014,December,12,Q4,Tuesday,False
55,2017-04-20 18:47:08,57,989.81,676,Wilson Rocha,Male,43,Moura,731,Modi,Clothing,Black,L,29.17,13.06,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,56419.17,744.4200000000001,55674.75,98.68055485396188,35-44,2017,April,4,Q2,Thursday,False
56,2018-03-23 18:46:15,95,601.69,134,Amélia Lopes,Male,24,Loures,369,Mollitia,Clothing,Red,S,69.36,35.98,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,57160.55,3418.1,53742.450000000004,94.0201765028503,18-24,2018,March,3,Q1,Friday,False
57,2016-07-01 23:24:09,4,523.56,295,Bianca Sousa-Pinheiro,Male,23,Aveiro,116,Enim,Footwear,Gray,36,62.54,32.09,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,2094.24,128.36,1965.8799999999997,93.87080754832301,18-24,2016,July,7,Q3,Friday,False
58,2016-02-13 07:57:44,57,950.98,861,Valentina da Correia,Female,24,Silves,476,Eligendi,Footwear,Gray,37,64.24,34.55,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,54205.86,1969.35,52236.51,96.36690571831164,18-24,2016,February,2,Q1,Saturday,True
59,2017-02-07 05:38:29,27,633.13,625,Sofia do Paiva,Female,52,Santa Cruz das Flores,881,Iusto,Footwear,Red,44,36.32,30.86,1,Loja Borges S.A.,Central,Leiria,Online,17094.51,833.22,16261.289999999999,95.12580354745471,45-54,2017,February,2,Q1,Tuesday,False
60,2015-03-10 04:07:24,21,918.83,52,Petra Machado,Male,31,Amares,952,Id,Clothing,Red,XL,55.14,24.73,1,Loja Borges S.A.,Central,Leiria,Online,19295.43,519.33,18776.1,97.30853367870009,25-34,2015,March,3,Q1,Tuesday,False
61,2015-09-11 04:47:42,100,671.84,224,Carminho Nunes,Male,56,Esposende,122,Consequuntur,Footwear,Purple,36,78.92,47.92,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,67184.0,4792.0,62392.0,92.86734936889735,55-64,2015,September,9,Q3,Friday,False
62,2018-03-22 23:29:11,57,787.39,470,Victória Sá,Female,45,Santa Cruz da Graciosa,601,Porro,Footwear,White,40,89.42,18.46,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,44881.229999999996,1052.22,43829.009999999995,97.65554553651938,45-54,2018,March,3,Q1,Thursday,False
63,2014-10-10 18:30:33,91,388.38,611,Sebastião Paiva,Female,28,Vendas Novas,969,Dolores,Footwear,White,35,51.59,26.55,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,35342.58,2416.05,32926.53,93.1639116329368,25-34,2014,October,10,Q4,Friday,False
64,2021-09-08 22:29:32,90,914.78,220,Vicente Valente,Female,57,Barrancos,120,At,Clothing,Black,M,33.73,18.95,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,82330.2,1705.5,80624.7,97.92846367432607,55-64,2021,September,9,Q3,Wednesday,False
65,2024-02-25 08:16:31,67,855.13,203,Luísa de Lima,Male,49,Funchal,208,Unde,Clothing,Blue,XS,61.2,49.77,1,Loja Borges S.A.,Central,Leiria,Online,57293.71,3334.59,53959.119999999995,94.17983230619905,45-54,2024,February,2,Q1,Sunday,True
66,2014-09-30 20:19:44,10,566.14,356,Ana Esteves-Domingues,Male,49,Covilhã,25,Sequi,Footwear,Black,41,85.79,45.85,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,5661.4,458.5,5202.9,91.90129649909916,45-54,2014,September,9,Q3,Tuesday,False
67,2017-11-14 02:33:44,50,263.75,284,Letícia Assunção,Male,30,Redondo,174,Ex,Clothing,Red,XXL,36.48,37.61,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,13187.5,1880.5,11307.0,85.74028436018958,25-34,2017,November,11,Q4,Tuesday,False
68,2023-04-11 13:14:39,37,785.28,502,Beatriz Soares,Male,60,Barrancos,325,Velit,Footwear,Red,36,65.42,14.32,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,29055.36,529.84,28525.52,98.17644661776691,55-64,2023,April,4,Q2,Tuesday,False
69,2018-10-20 04:18:12,68,699.46,98,Renata Moura,Female,19,Penamacor,245,Quasi,Footwear,Orange,44,59.65,24.14,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,47563.28,1641.52,45921.76,96.54876619106169,18-24,2018,October,10,Q4,Saturday,True
70,2019-08-12 13:38:05,22,720.75,131,Nádia Branco,Female,44,Vidigueira,986,Atque,Footwear,Pink,44,55.6,25.42,1,Loja Borges S.A.,Central,Leiria,Online,15856.5,559.24,15297.26,96.47311827956989,35-44,2019,August,8,Q3,Monday,False
71,2017-05-11 13:05:05,44,390.78,754,Paulo Vaz,Female,70,Albufeira,52,Voluptate,Clothing,Red,XS,80.09,24.4,1,Loja Borges S.A.,Central,Leiria,Online,17194.32,1073.6,16120.72,93.75607758841291,65+,2017,May,5,Q2,Thursday,False
72,2024-11-29 22:02:47,83,990.22,898,Gil Jesus,Male,54,Silves,961,Quasi,Clothing,Orange,L,76.92,25.84,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,82188.26000000001,2144.72,80043.54000000001,97.39047888348044,45-54,2024,November,11,Q4,Friday,False
73,2018-07-04 08:46:56,3,278.77,59,Jorge Martins,Male,44,Vale de Cambra,214,Dolor,Footwear,Yellow,35,70.0,10.9,1,Loja Borges S.A.,Central,Leiria,Online,836.31,32.7,803.6099999999999,96.08996663916489,35-44,2018,July,7,Q3,Wednesday,False
74,2020-11-09 14:07:06,76,225.11,707,Alícia-Daniela Pinto,Male,44,Praia da Vitória,264,Tenetur,Footwear,Blue,43,23.52,24.5,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,17108.36,1862.0,15246.36,89.1164319665941,35-44,2020,November,11,Q4,Monday,False
75,2016-12-27 23:55:02,78,258.77,609,Mário Reis,Female,44,Sintra,875,Nam,Clothing,Red,XL,64.5,26.64,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,20184.059999999998,2077.92,18106.14,89.70514356378251,35-44,2016,December,12,Q4,Tuesday,False
76,2018-10-22 20:43:26,67,231.97,862,Luca Mendes,Male,44,Lajes das Flores,974,Consectetur,Footwear,Red,41,38.93,45.14,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,15541.99,3024.38,12517.61,80.54058714488943,35-44,2018,October,10,Q4,Monday,False
77,2020-10-09 17:31:01,20,710.04,810,Adriana Cunha,Female,38,Valongo,847,Sapiente,Clothing,Orange,M,94.67,49.72,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,14200.8,994.4,13206.4,92.99757760126191,35-44,2020,October,10,Q4,Friday,False
78,2018-08-16 22:59:04,72,584.68,970,William Pinheiro,Male,18,Figueira da Foz,143,Laboriosam,Clothing,Orange,XS,60.37,21.52,1,Loja Borges S.A.,Central,Leiria,Online,42096.96,1549.44,40547.52,96.31935417664363,18-24,2018,August,8,Q3,Thursday,False
79,2017-04-23 20:45:53,95,702.79,211,Alícia-Bruna Loureiro,Female,41,Alvito,307,Deleniti,Footwear,Blue,39,22.15,18.49,1,Loja Borges S.A.,Central,Leiria,Online,66765.05,1756.55,65008.5,97.36905761322727,35-44,2017,April,4,Q2,Sunday,True
80,2024-07-15 04:51:57,97,507.18,630,Emanuel Carneiro,Male,39,Vila Nova de Gaia,988,Quibusdam,Footwear,Gray,37,40.99,37.33,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,49196.46,3621.0099999999998,45575.45,92.63969399424266,35-44,2024,July,7,Q3,Monday,False
81,2023-12-13 19:29:21,29,149.58,21,Raquel-Renata Sá,Male,70,Aljezur,105,Unde,Footwear,Pink,38,67.79,26.47,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,4337.820000000001,767.63,3570.1900000000005,82.30378392833266,65+,2023,December,12,Q4,Wednesday,False
82,2015-03-13 21:32:09,41,38.88,446,Sérgio Pereira,Female,22,Vila Real de Santo António,165,Ipsam,Footwear,Pink,37,34.47,48.27,2,Loja Ramos Lda.,Algarve,Lagoa,Physical,1594.0800000000002,1979.0700000000002,-384.99,-24.151234567901234,18-24,2015,March,3,Q1,Friday,False
83,2019-05-07 23:55:14,72,666.36,883,Alice de Amaral,Female,22,Castro Verde,666,Earum,Clothing,Gray,S,46.55,36.73,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,47977.92,2644.56,45333.36,94.48796446365328,18-24,2019,May,5,Q2,Tuesday,False
84,2024-07-17 03:20:27,53,163.58,48,Nelson do Miranda,Female,41,Funchal,81,Ad,Footwear,Pink,38,56.58,17.05,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,8669.74,903.6500000000001,7766.09,89.57696539919307,35-44,2024,July,7,Q3,Wednesday,False
85,2023-10-28 21:55:42,17,510.39,771,Camila Pires-Guerreiro,Female,22,Vila Franca do Campo,685,Possimus,Footwear,Pink,35,53.83,15.99,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,8676.63,271.83,8404.8,96.8671016281667,18-24,2023,October,10,Q4,Saturday,True
86,2020-07-15 02:54:41,44,616.57,441,Alícia Macedo,Male,59,Melgaço,222,Maxime,Footwear,White,35,32.67,11.56,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,27129.08,508.64000000000004,26620.440000000002,98.12511150396548,55-64,2020,July,7,Q3,Wednesday,False
87,2019-04-11 00:41:11,13,458.33,577,Duarte Brito-Pinto,Male,69,Angra do Heroísmo,323,Et,Clothing,Purple,L,46.67,31.97,1,Loja Borges S.A.,Central,Leiria,Online,5958.29,415.61,5542.68,93.02467654310213,65+,2019,April,4,Q2,Thursday,False
88,2020-10-04 09:31:58,64,390.86,160,Erica Nogueira,Male,70,Ponte de Sor,80,Temporibus,Clothing,Black,L,63.68,16.89,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,25015.04,1080.96,23934.08,95.67875965818963,65+,2020,October,10,Q4,Sunday,True
89,2022-10-27 16:15:25,39,193.73,513,Wilson Jesus,Female,47,Barrancos,653,Et,Footwear,Gray,37,36.98,27.49,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,7555.469999999999,1072.11,6483.36,85.81014814432459,45-54,2022,October,10,Q4,Thursday,False
90,2024-01-23 06:53:20,36,260.59,971,Maria Neto,Female,65,Vila do Porto,122,Consequuntur,Footwear,Purple,36,78.92,47.92,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,9381.24,1725.1200000000001,7656.12,81.6109597451936,65+,2024,January,1,Q1,Tuesday,False
91,2022-03-12 20:18:18,44,727.03,926,Bruna da Sousa,Male,32,Póvoa de Varzim,451,Aperiam,Footwear,Gray,39,71.74,32.06,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,31989.32,1410.64,30578.68,95.59027825536774,25-34,2022,March,3,Q1,Saturday,True
92,2024-07-24 04:51:39,18,679.62,175,Anita Pinheiro,Female,48,Arruda dos Vinhos,829,Accusantium,Footwear,Blue,35,53.51,41.5,1,Loja Borges S.A.,Central,Leiria,Online,12233.16,747.0,11486.16,93.89364644948648,45-54,2024,July,7,Q3,Wednesday,False
