"Venda_ID","Data da Venda","Quantidade","Preço Unitário","Cliente_ID","customer_name","Género","Idade","Cidade","Produto_ID","product_name","Categoria","Cor","Tamanho","Preço","Custo_Aquisição","Loja_ID","store_name","Região","store_city","Tipo"
14,"2018-03-21 08:16:40",49,105.68,836,Benedita Amaral,F,62,Lisboa,162,Nihil,Roupas,Vermelho,M,63.65,28.09,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
15,"2023-09-03 22:09:37",50,428.63,289,Clara Tavares,F,50,Fátima,647,Repellendus,Calçado,Branco,"43",34.96,44.02,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
16,"2023-08-25 14:41:25",16,874.05,336,Emília Freitas,F,21,Vila Nova de Santo André,82,Labore,Calçado,Verde,"43",59.54,14.39,2,Loja Ramos Lda.,Algarve,Lagoa,Física
17,"2017-03-10 04:22:37",87,23.34,975,Gabriel Cunha,M,18,Tavira,207,Dolorum,Calçado,Verde,"39",58.58,25.32,1,Loja Borges S.A.,Centro,Leiria,Online
18,"2021-09-13 07:59:11",25,546.54,689,Santiago Lima,F,69,Odemira,189,Velit,Roupas,Vermelho,L,46.15,20.39,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
19,"2018-06-09 06:27:50",12,564.32,76,Mia-Lúcia Carneiro,M,65,Mealhada,810,Praesentium,Roupas,Rosa,XS,41.2,43.18,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
20,"2014-10-28 17:09:51",88,236.24,107,Luís Garcia,F,31,Alcobaça,71,In,Calçado,Rosa,"39",52.53,17.69,2,Loja Ramos Lda.,Algarve,Lagoa,Física
21,"2017-12-16 05:11:10",93,757.58,341,Henrique Vicente,F,52,Marinha Grande,743,Necessitatibus,Calçado,Roxo,"41",40.9,49.0,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
22,"2018-01-21 03:09:52",97,814.23,362,Sérgio de Morais,M,34,Machico,482,Aliquid,Calçado,Verde,"44",82.95,30.58,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
23,"2015-09-11 06:27:03",13,286.32,60,Jorge Fonseca,M,22,Castro Verde,20,Nostrum,Roupas,Amarelo,M,25.14,39.42,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
24,"2024-10-02 10:29:19",9,803.06,124,Alícia-Maria Simões,M,22,Sabugal,694,Delectus,Calçado,Vermelho,"38",63.96,15.24,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
25,"2021-03-01 16:43:12",8,603.99,589,Adriana Gaspar,M,51,Angra do Heroísmo,754,Accusantium,Roupas,Vermelho,XS,59.26,13.17,1,Loja Borges S.A.,Centro,Leiria,Online
26,"2021-06-09 19:33:57",51,357.96,812,Alexandre Domingues,M,29,Silves,426,Similique,Calçado,Amarelo,"35",76.23,15.48,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
27,"2023-05-24 15:03:30",5,140.71,128,Henrique Machado,M,65,Alenquer,553,Omnis,Calçado,Verde,"42",57.78,11.0,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
28,"2014-08-21 16:40:40",90,219.71,327,Afonso Correia-Barbosa,M,19,Praia da Vitória,182,Quibusdam,Roupas,Verde,M,84.98,18.9,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
29,"2022-07-22 16:07:22",92,576.32,544,Gustavo Lopes,M,24,Arcos de Valdevez,169,Voluptates,Calçado,Vermelho,"41",41.6,24.36,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
30,"2023-06-02 07:05:59",85,891.72,318,Gil Fonseca,F,55,Vila Franca do Campo,135,Saepe,Roupas,Verde,M,88.74,31.14,2,Loja Ramos Lda.,Algarve,Lagoa,Física
31,"2023-12-06 06:15:43",51,304.09,240,Filipa Santos,M,44,Lagos,431,Nemo,Roupas,Rosa,M,36.05,30.07,2,Loja Ramos Lda.,Algarve,Lagoa,Física
32,"2023-03-31 10:09:49",22,715.17,368,Francisco Nascimento,M,62,Trofa,356,Voluptas,Calçado,Preto,"38",98.03,41.58,1,Loja Borges S.A.,Centro,Leiria,Online
33,"2016-01-12 05:02:41",34,82.86,770,Bryan Moura,M,53,Velas,771,Rerum,Calçado,Verde,"36",87.91,21.15,2,Loja Ramos Lda.,Algarve,Lagoa,Física
34,"2022-03-08 08:07:58",51,847.32,289,Clara Tavares,F,50,Fátima,149,Fugit,Roupas,Preto,M,84.89,43.26,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
35,"2017-03-29 04:22:33",24,476.64,815,Lucas Ferreira,M,30,Alcácer do Sal,56,Placeat,Calçado,Cinzento,"36",47.17,37.98,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
36,"2021-12-15 06:50:08",76,337.18,822,Tomás Campos,F,63,Montalegre,652,Quaerat,Roupas,Amarelo,XXL,58.48,20.66,2,Loja Ramos Lda.,Algarve,Lagoa,Física
37,"2015-03-01 01:18:35",1,880.01,912,Emília Valente,M,52,Santa Cruz das Flores,588,Alias,Calçado,Amarelo,"38",31.45,39.27,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
38,"2021-02-11 13:28:53",19,203.71,687,Luísa Henriques,F,24,Estremoz,136,Architecto,Calçado,Preto,"38",20.91,37.69,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
39,"2014-11-09 08:54:09",1,721.19,693,Mara-Kelly Brito,M,68,Portalegre,805,Omnis,Roupas,Laranja,S,96.7,34.76,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
40,"2021-05-05 02:01:41",22,343.33,959,Adriana Rodrigues,M,54,Caminha,813,Ex,Roupas,Rosa,XL,94.17,35.66,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
41,"2016-10-09 01:58:08",93,706.11,673,Francisca Ferreira,M,69,Almodôvar,274,Corrupti,Roupas,Branco,L,91.51,44.59,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
42,"2016-04-08 11:35:16",89,788.19,42,Sara Soares-Sá,F,45,Santa Cruz da Graciosa,160,Perspiciatis,Calçado,Cinzento,"42",61.09,18.96,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
43,"2019-08-31 13:12:06",58,278.76,844,Lucas Borges-Leite,M,44,Ponte de Sor,425,Molestias,Roupas,Laranja,L,88.72,10.02,2,Loja Ramos Lda.,Algarve,Lagoa,Física
44,"2021-05-29 04:57:06",39,141.59,900,Alícia-Petra Vaz,F,66,Castro Verde,78,Eum,Roupas,Roxo,S,89.64,43.12,2,Loja Ramos Lda.,Algarve,Lagoa,Física
45,"2015-12-12 19:36:09",38,909.61,227,Mafalda Nascimento,M,58,Funchal,704,Corporis,Calçado,Azul,"35",74.93,35.07,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
46,"2016-03-16 09:06:04",23,68.91,53,Renato Mota,F,61,Setúbal,936,Illum,Roupas,Verde,S,45.94,47.13,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
47,"2018-10-11 08:30:32",74,530.58,89,Iara Leal,M,26,Sines,27,Commodi,Calçado,Vermelho,"35",98.15,43.41,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
48,"2016-10-26 04:54:36",72,375.12,721,Luísa Lourenço,F,39,Moura,222,Maxime,Calçado,Branco,"35",32.67,11.56,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
49,"2019-04-03 19:08:49",30,868.9,207,Rita-Juliana Torres,M,62,Setúbal,422,Repudiandae,Calçado,Preto,"45",78.49,47.54,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
50,"2020-08-28 20:44:26",57,923.27,554,Camila Moura,M,31,Oliveira do Bairro,391,Tempora,Roupas,Vermelho,M,91.94,33.19,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
51,"2016-04-06 03:53:07",26,892.28,94,Jaime Magalhães,M,67,Setúbal,693,Reiciendis,Calçado,Preto,"44",70.04,40.25,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
52,"2023-09-03 22:57:08",7,286.11,938,Isabel Sá,M,41,Lagos,737,Repellendus,Roupas,Laranja,XS,77.92,33.19,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
53,"2021-01-05 21:05:02",76,604.14,54,Raquel Reis,M,41,Angra do Heroísmo,885,Voluptatum,Roupas,Rosa,S,70.49,42.29,2,Loja Ramos Lda.,Algarve,Lagoa,Física
54,"2014-12-16 19:31:19",38,872.8,658,Sara Lourenço,F,27,Carregal do Sal,30,Quasi,Roupas,Laranja,XS,29.07,15.68,2,Loja Ramos Lda.,Algarve,Lagoa,Física
55,"2017-04-20 18:47:08",57,989.81,676,Wilson Rocha,M,43,Moura,731,Modi,Roupas,Preto,L,29.17,13.06,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
56,"2018-03-23 18:46:15",95,601.69,134,Amélia Lopes,M,24,Loures,369,Mollitia,Roupas,Vermelho,S,69.36,35.98,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
57,"2016-07-01 23:24:09",4,523.56,295,Bianca Sousa-Pinheiro,M,23,Aveiro,116,Enim,Calçado,Cinzento,"36",62.54,32.09,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
58,"2016-02-13 07:57:44",57,950.98,861,Valentina da Correia,F,24,Silves,476,Eligendi,Calçado,Cinzento,"37",64.24,34.55,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
59,"2017-02-07 05:38:29",27,633.13,625,Sofia do Paiva,F,52,Santa Cruz das Flores,881,Iusto,Calçado,Vermelho,"44",36.32,30.86,1,Loja Borges S.A.,Centro,Leiria,Online
60,"2015-03-10 04:07:24",21,918.83,52,Petra Machado,M,31,Amares,952,Id,Roupas,Vermelho,XL,55.14,24.73,1,Loja Borges S.A.,Centro,Leiria,Online
61,"2015-09-11 04:47:42",100,671.84,224,Carminho Nunes,M,56,Esposende,122,Consequuntur,Calçado,Roxo,"36",78.92,47.92,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
62,"2018-03-22 23:29:11",57,787.39,470,Victória Sá,F,45,Santa Cruz da Graciosa,601,Porro,Calçado,Branco,"40",89.42,18.46,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
63,"2014-10-10 18:30:33",91,388.38,611,Sebastião Paiva,F,28,Vendas Novas,969,Dolores,Calçado,Branco,"35",51.59,26.55,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
64,"2021-09-08 22:29:32",90,914.78,220,Vicente Valente,F,57,Barrancos,120,At,Roupas,Preto,M,33.73,18.95,2,Loja Ramos Lda.,Algarve,Lagoa,Física
65,"2024-02-25 08:16:31",67,855.13,203,Luísa de Lima,M,49,Funchal,208,Unde,Roupas,Azul,XS,61.2,49.77,1,Loja Borges S.A.,Centro,Leiria,Online
66,"2014-09-30 20:19:44",10,566.14,356,Ana Esteves-Domingues,M,49,Covilhã,25,Sequi,Calçado,Preto,"41",85.79,45.85,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
67,"2017-11-14 02:33:44",50,263.75,284,Letícia Assunção,M,30,Redondo,174,Ex,Roupas,Vermelho,XXL,36.48,37.61,2,Loja Ramos Lda.,Algarve,Lagoa,Física
68,"2023-04-11 13:14:39",37,785.28,502,Beatriz Soares,M,60,Barrancos,325,Velit,Calçado,Vermelho,"36",65.42,14.32,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
69,"2018-10-20 04:18:12",68,699.46,98,Renata Moura,F,19,Penamacor,245,Quasi,Calçado,Laranja,"44",59.65,24.14,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
70,"2019-08-12 13:38:05",22,720.75,131,Nádia Branco,F,44,Vidigueira,986,Atque,Calçado,Rosa,"44",55.6,25.42,1,Loja Borges S.A.,Centro,Leiria,Online
71,"2017-05-11 13:05:05",44,390.78,754,Paulo Vaz,F,70,Albufeira,52,Voluptate,Roupas,Vermelho,XS,80.09,24.4,1,Loja Borges S.A.,Centro,Leiria,Online
72,"2024-11-29 22:02:47",83,990.22,898,Gil Jesus,M,54,Silves,961,Quasi,Roupas,Laranja,L,76.92,25.84,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
73,"2018-07-04 08:46:56",3,278.77,59,Jorge Martins,M,44,Vale de Cambra,214,Dolor,Calçado,Amarelo,"35",70.0,10.9,1,Loja Borges S.A.,Centro,Leiria,Online
74,"2020-11-09 14:07:06",76,225.11,707,Alícia-Daniela Pinto,M,44,Praia da Vitória,264,Tenetur,Calçado,Azul,"43",23.52,24.5,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
75,"2016-12-27 23:55:02",78,258.77,609,Mário Reis,F,44,Sintra,875,Nam,Roupas,Vermelho,XL,64.5,26.64,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
76,"2018-10-22 20:43:26",67,231.97,862,Luca Mendes,M,44,Lajes das Flores,974,Consectetur,Calçado,Vermelho,"41",38.93,45.14,2,Loja Ramos Lda.,Algarve,Lagoa,Física
77,"2020-10-09 17:31:01",20,710.04,810,Adriana Cunha,F,38,Valongo,847,Sapiente,Roupas,Laranja,M,94.67,49.72,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
78,"2018-08-16 22:59:04",72,584.68,970,William Pinheiro,M,18,Figueira da Foz,143,Laboriosam,Roupas,Laranja,XS,60.37,21.52,1,Loja Borges S.A.,Centro,Leiria,Online
79,"2017-04-23 20:45:53",95,702.79,211,Alícia-Bruna Loureiro,F,41,Alvito,307,Deleniti,Calçado,Azul,"39",22.15,18.49,1,Loja Borges S.A.,Centro,Leiria,Online
80,"2024-07-15 04:51:57",97,507.18,630,Emanuel Carneiro,M,39,Vila Nova de Gaia,988,Quibusdam,Calçado,Cinzento,"37",40.99,37.33,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
81,"2023-12-13 19:29:21",29,149.58,21,Raquel-Renata Sá,M,70,Aljezur,105,Unde,Calçado,Rosa,"38",67.79,26.47,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
82,"2015-03-13 21:32:09",41,38.88,446,Sérgio Pereira,F,22,Vila Real de Santo António,165,Ipsam,Calçado,Rosa,"37",34.47,48.27,2,Loja Ramos Lda.,Algarve,Lagoa,Física
83,"2019-05-07 23:55:14",72,666.36,883,Alice de Amaral,F,22,Castro Verde,666,Earum,Roupas,Cinzento,S,46.55,36.73,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
84,"2024-07-17 03:20:27",53,163.58,48,Nelson do Miranda,F,41,Funchal,81,Ad,Calçado,Rosa,"38",56.58,17.05,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
85,"2023-10-28 21:55:42",17,510.39,771,Camila Pires-Guerreiro,F,22,Vila Franca do Campo,685,Possimus,Calçado,Rosa,"35",53.83,15.99,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
86,"2020-07-15 02:54:41",44,616.57,441,Alícia Macedo,M,59,Melgaço,222,Maxime,Calçado,Branco,"35",32.67,11.56,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
87,"2019-04-11 00:41:11",13,458.33,577,Duarte Brito-Pinto,M,69,Angra do Heroísmo,323,Et,Roupas,Roxo,L,46.67,31.97,1,Loja Borges S.A.,Centro,Leiria,Online
88,"2020-10-04 09:31:58",64,390.86,160,Erica Nogueira,M,70,Ponte de Sor,80,Temporibus,Roupas,Preto,L,63.68,16.89,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
89,"2022-10-27 16:15:25",39,193.73,513,Wilson Jesus,F,47,Barrancos,653,Et,Calçado,Cinzento,"37",36.98,27.49,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
90,"2024-01-23 06:53:20",36,260.59,971,Maria Neto,F,65,Vila do Porto,122,Consequuntur,Calçado,Roxo,"36",78.92,47.92,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
91,"2022-03-12 20:18:18",44,727.03,926,Bruna da Sousa,M,32,Póvoa de Varzim,451,Aperiam,Calçado,Cinzento,"39",71.74,32.06,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
92,"2024-07-24 04:51:39",18,679.62,175,Anita Pinheiro,F,48,Arruda dos Vinhos,829,Accusantium,Calçado,Azul,"35",53.51,41.5,1,Loja Borges S.A.,Centro,Leiria,Online
93,"2022-09-19 11:20:14",33,76.9,129,Naiara Branco,M,31,Alvito,881,Iusto,Calçado,Vermelho,"44",36.32,30.86,1,Loja Borges S.A.,Centro,Leiria,Online
94,"2023-04-25 11:10:22",9,145.23,737,Lúcia Rocha,M,58,Funchal,30,Quasi,Roupas,Laranja,XS,29.07,15.68,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
95,"2019-11-11 19:58:55",58,155.72,219,Lúcia Ribeiro,F,34,Odemira,266,Quaerat,Roupas,Rosa,L,99.23,32.9,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
96,"2022-03-27 07:03:35",71,271.45,63,Erika do Borges,F,20,Vila Franca do Campo,217,Commodi,Roupas,Laranja,M,68.77,36.97,1,Loja Borges S.A.,Centro,Leiria,Online
97,"2024-03-11 15:19:52",56,297.27,404,Raquel-Yasmin Sousa,M,40,São Brás de Alportel,721,Dolor,Roupas,Branco,S,96.88,35.89,1,Loja Borges S.A.,Centro,Leiria,Online
98,"2017-10-04 16:55:16",83,78.85,67,Petra do Pinto,M,41,Lajes do Pico,396,Dolorum,Roupas,Amarelo,XXL,82.13,38.63,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
99,"2021-01-26 22:46:30",61,909.75,729,Clara-Nair Cardoso,F,35,Rio Maior,469,Quis,Calçado,Preto,"45",25.0,22.72,2,Loja Ramos Lda.,Algarve,Lagoa,Física
100,"2023-01-17 07:13:47",92,632.97,938,Isabel Sá,M,41,Lagos,333,Reiciendis,Calçado,Preto,"37",26.51,24.11,1,Loja Borges S.A.,Centro,Leiria,Online
101,"2017-01-25 03:58:00",8,465.79,704,Vera Fernandes,F,21,Faro,537,Eius,Calçado,Branco,"41",36.51,16.3,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
102,"2019-11-11 23:07:03",26,21.7,541,Benjamim Nunes,M,34,Odivelas,892,Molestias,Calçado,Verde,"40",37.22,20.27,2,Loja Ramos Lda.,Algarve,Lagoa,Física
103,"2022-05-21 05:57:29",86,447.75,964,Valentim Rocha,F,53,Alenquer,795,Quidem,Roupas,Azul,S,26.88,33.74,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
104,"2023-08-21 04:06:48",98,260.13,63,Erika do Borges,F,20,Vila Franca do Campo,499,Reprehenderit,Roupas,Azul,L,58.7,16.34,1,Loja Borges S.A.,Centro,Leiria,Online
105,"2014-06-14 20:21:53",94,677.21,568,Ivo Correia,M,27,Ílhavo,494,Necessitatibus,Calçado,Azul,"36",87.69,28.51,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
106,"2022-09-01 01:49:31",53,980.66,639,Patrícia-Carlota Freitas,F,25,Azambuja,62,Laudantium,Roupas,Preto,XL,65.97,46.61,1,Loja Borges S.A.,Centro,Leiria,Online
107,"2021-10-30 16:43:57",87,822.6,338,Lourenço Castro,F,25,Mondim de Basto,213,Ad,Calçado,Azul,"43",41.03,38.73,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
108,"2021-04-26 02:13:58",28,279.98,302,Melissa Ribeiro,M,63,Póvoa de Lanhoso,486,Provident,Calçado,Preto,"45",51.9,22.06,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
109,"2023-03-04 08:58:05",1,172.85,82,Alexandre Machado,M,42,Oliveira do Hospital,509,Adipisci,Roupas,Verde,XL,67.18,46.5,1,Loja Borges S.A.,Centro,Leiria,Online
110,"2018-06-22 14:37:09",52,463.8,470,Victória Sá,F,45,Santa Cruz da Graciosa,345,Nulla,Calçado,Vermelho,"43",70.49,27.17,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
111,"2022-05-18 22:04:37",15,223.43,417,Constança Batista-Esteves,F,68,Torres Vedras,990,Consectetur,Calçado,Azul,"45",66.44,30.57,2,Loja Ramos Lda.,Algarve,Lagoa,Física
112,"2019-10-30 12:10:12",86,430.76,942,Dinis Reis,F,70,Machico,525,Ullam,Calçado,Verde,"40",98.25,24.59,2,Loja Ramos Lda.,Algarve,Lagoa,Física
113,"2017-01-13 12:10:42",17,583.36,284,Letícia Assunção,M,30,Redondo,278,In,Roupas,Verde,M,90.79,49.93,1,Loja Borges S.A.,Centro,Leiria,Online
114,"2021-01-13 15:04:09",48,122.63,72,Mateus Amaral,M,44,Portel,906,Doloribus,Calçado,Vermelho,"36",60.56,46.08,2,Loja Ramos Lda.,Algarve,Lagoa,Física
115,"2018-07-14 06:10:42",57,484.83,981,Tomé Mota,F,19,Valença,146,Eum,Roupas,Amarelo,M,86.45,28.4,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
116,"2022-11-18 14:43:41",86,392.93,791,Lourenço Andrade-Nogueira,F,57,Lajes das Flores,139,Iste,Roupas,Azul,M,24.82,36.56,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
117,"2022-01-01 14:04:17",76,248.39,399,Joel Torres,F,36,São Brás de Alportel,930,Ex,Roupas,Preto,XS,68.72,30.77,1,Loja Borges S.A.,Centro,Leiria,Online
118,"2016-04-10 02:53:14",96,992.86,569,Bruna Gomes,F,33,Aljezur,236,A,Roupas,Preto,XL,64.86,24.16,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
119,"2017-08-11 17:59:09",57,570.85,128,Henrique Machado,M,65,Alenquer,18,Dolores,Roupas,Laranja,L,44.25,18.38,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
120,"2020-10-09 15:09:03",88,55.51,178,Martim Pinho,M,18,Sines,347,Consequatur,Calçado,Verde,"36",74.84,15.55,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
121,"2024-05-13 12:00:43",23,200.69,736,Isaac Vieira,M,37,Vila do Corvo,421,Delectus,Roupas,Amarelo,L,44.14,16.35,2,Loja Ramos Lda.,Algarve,Lagoa,Física
122,"2019-12-15 16:16:47",42,500.77,680,Bruno Pinheiro,M,56,Esposende,965,Ipsam,Roupas,Amarelo,XS,85.94,31.85,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
123,"2022-02-04 16:16:16",85,833.49,141,Kyara Esteves,F,21,Santa Cruz da Graciosa,866,Est,Calçado,Branco,"43",29.99,37.57,2,Loja Ramos Lda.,Algarve,Lagoa,Física
124,"2015-05-24 07:07:31",26,504.6,743,Cláudio Leal,F,37,Lisboa,689,Rem,Calçado,Amarelo,"36",31.87,15.39,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
125,"2024-09-28 21:23:16",68,312.64,928,Ariana Martins,M,36,Alvaiázere,309,Cum,Roupas,Azul,S,43.91,19.15,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
126,"2015-05-14 14:14:36",96,97.83,325,Tiago Matos,M,29,Setúbal,122,Consequuntur,Calçado,Roxo,"36",78.92,47.92,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
127,"2020-12-01 21:59:59",58,610.96,198,Kévim Pereira,M,46,Santiago do Cacém,279,Sit,Calçado,Roxo,"42",55.66,22.17,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
128,"2018-09-15 15:29:04",29,348.7,558,Ricardo Almeida-Miranda,F,49,Amadora,160,Perspiciatis,Calçado,Cinzento,"42",61.09,18.96,2,Loja Ramos Lda.,Algarve,Lagoa,Física
129,"2015-11-28 20:33:05",20,319.97,268,Isabel Figueiredo,F,65,Barcelos,79,Officiis,Roupas,Cinzento,M,22.33,30.55,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
130,"2019-08-16 06:44:21",18,501.69,458,Xavier da Ribeiro,M,24,Castro Marim,972,Adipisci,Calçado,Branco,"35",61.16,25.16,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
131,"2022-08-16 09:32:57",93,693.42,156,Mélanie Fernandes,M,52,Oliveira do Bairro,831,Occaecati,Calçado,Cinzento,"41",97.98,17.3,1,Loja Borges S.A.,Centro,Leiria,Online
132,"2015-05-18 15:36:53",75,746.78,496,Daniela Rodrigues,F,57,Loures,470,Sapiente,Roupas,Vermelho,XS,85.57,32.5,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
